fips,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
48397,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
48399,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
48401,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
48403,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
48405,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
48407,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
48409,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
48411,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
48413,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
48415,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
48417,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
48419,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
48421,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
48423,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
48425,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
48427,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
48429,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
48431,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
48433,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
48435,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
48437,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
48439,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
48441,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
48443,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
48445,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
48447,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
48449,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
48451,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
48453,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
48455,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
48457,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
48459,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
48461,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
48463,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
48465,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
48467,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
48469,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
48471,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
48473,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
48475,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
48477,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
48479,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
48481,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
48483,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
48485,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
48487,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
48489,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
48491,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
48493,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
48495,236.45,235.14,228.87,218.78,216.99,215.44,211.54,210.46,192.98,176.3,176.48,178.63,181.46,201.46,433.3,481.95,366.61,380.31,378.67,402.86,474.15,527.8,527.09,490.89,521.73,501.86,442.05,416.72,457.12,480.46,473.56,486.09,478.58,490.85,522.69,615.89,631.09,604.51,529.33,484.35,504.75,683.56,523.33,642.96,683.72,796.5,911.26,1012.55,1368.61,1212.83,1054.08,1335.08,1563.05,1560.17,1537.7,1333.79,1082.39,1035.98,1116.59,1139.44,1043.95,1520.66,2502.01
