fips,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
40031,85.75,87.67,88.75,89.67,89.33,89.25,90.25,87.0,81.33,77.5,87.42,96.58,97.92,104.25,143.58,163.58,158.42,158.83,163.75,193.75,230.42,256.25,249.58,227.08,232.5,199.17,181.67,208.33,261.67,263.33,254.17,253.33,245.83,240.0,241.67,258.33,255.0,253.33,271.67,280.0,275.0,283.33,273.33,275.0,301.67,408.33,455.0,466.67,935.0,1421.67,851.67,1001.67,1108.33,991.67,1001.67,1065.53,963.41,896.0,899.75,931.7,889.38,899.38,1131.59
40033,85.75,87.67,88.75,89.67,89.33,89.25,90.25,87.0,81.33,77.5,87.42,96.58,97.92,104.25,143.58,163.58,158.42,158.83,163.75,193.75,230.42,256.25,249.58,227.08,232.5,199.17,181.67,208.33,261.67,263.33,254.17,253.33,245.83,240.0,241.67,258.33,255.0,253.33,271.67,280.0,275.0,283.33,273.33,275.0,301.67,408.33,455.0,466.67,935.0,1421.67,851.67,1001.67,1108.33,991.67,1001.67,1065.53,963.41,896.0,899.75,931.7,889.38,899.38,1131.59
40035,85.75,87.67,88.75,89.67,89.33,89.25,90.25,87.0,81.33,77.5,87.42,96.58,97.92,104.25,143.58,163.58,158.42,158.83,163.75,193.75,230.42,256.25,249.58,227.08,232.5,199.17,181.67,208.33,261.67,263.33,254.17,253.33,245.83,240.0,241.67,258.33,255.0,253.33,271.67,280.0,275.0,283.33,273.33,275.0,301.67,408.33,455.0,466.67,935.0,1421.67,851.67,1001.67,1108.33,991.67,1001.67,1065.53,963.41,896.0,899.75,931.7,889.38,899.38,1131.59
40037,85.75,87.67,88.75,89.67,89.33,89.25,90.25,87.0,81.33,77.5,87.42,96.58,97.92,104.25,143.58,163.58,158.42,158.83,163.75,193.75,230.42,256.25,249.58,227.08,232.5,199.17,181.67,208.33,261.67,263.33,254.17,253.33,245.83,240.0,241.67,258.33,255.0,253.33,271.67,280.0,275.0,283.33,273.33,275.0,301.67,408.33,455.0,466.67,935.0,1421.67,851.67,1001.67,1108.33,991.67,1001.67,1065.53,963.41,896.0,899.75,931.7,889.38,899.38,1131.59
40039,85.75,87.67,88.75,89.67,89.33,89.25,90.25,87.0,81.33,77.5,87.42,96.58,97.92,104.25,143.58,163.58,158.42,158.83,163.75,193.75,230.42,256.25,249.58,227.08,232.5,199.17,181.67,208.33,261.67,263.33,254.17,253.33,245.83,240.0,241.67,258.33,255.0,253.33,271.67,280.0,275.0,283.33,273.33,275.0,301.67,408.33,455.0,466.67,935.0,1421.67,851.67,1001.67,1108.33,991.67,1001.67,1065.53,963.41,896.0,899.75,931.7,889.38,899.38,1131.59
40041,85.75,87.67,88.75,89.67,89.33,89.25,90.25,87.0,81.33,77.5,87.42,96.58,97.92,104.25,143.58,163.58,158.42,158.83,163.75,193.75,230.42,256.25,249.58,227.08,232.5,199.17,181.67,208.33,261.67,263.33,254.17,253.33,245.83,240.0,241.67,258.33,255.0,253.33,271.67,280.0,275.0,283.33,273.33,275.0,301.67,408.33,455.0,466.67,935.0,1421.67,851.67,1001.67,1108.33,991.67,1001.67,1065.53,963.41,896.0,899.75,931.7,889.38,899.38,1131.59
40043,85.75,87.67,88.75,89.67,89.33,89.25,90.25,87.0,81.33,77.5,87.42,96.58,97.92,104.25,143.58,163.58,158.42,158.83,163.75,193.75,230.42,256.25,249.58,227.08,232.5,199.17,181.67,208.33,261.67,263.33,254.17,253.33,245.83,240.0,241.67,258.33,255.0,253.33,271.67,280.0,275.0,283.33,273.33,275.0,301.67,408.33,455.0,466.67,935.0,1421.67,851.67,1001.67,1108.33,991.67,1001.67,1065.53,963.41,896.0,899.75,931.7,889.38,899.38,1131.59
40045,85.75,87.67,88.75,89.67,89.33,89.25,90.25,87.0,81.33,77.5,87.42,96.58,97.92,104.25,143.58,163.58,158.42,158.83,163.75,193.75,230.42,256.25,249.58,227.08,232.5,199.17,181.67,208.33,261.67,263.33,254.17,253.33,245.83,240.0,241.67,258.33,255.0,253.33,271.67,280.0,275.0,283.33,273.33,275.0,301.67,408.33,455.0,466.67,935.0,1421.67,851.67,1001.67,1108.33,991.67,1001.67,1065.53,963.41,896.0,899.75,931.7,889.38,899.38,1131.59
40047,85.75,87.67,88.75,89.67,89.33,89.25,90.25,87.0,81.33,77.5,87.42,96.58,97.92,104.25,143.58,163.58,158.42,158.83,163.75,193.75,230.42,256.25,249.58,227.08,232.5,199.17,181.67,208.33,261.67,263.33,254.17,253.33,245.83,240.0,241.67,258.33,255.0,253.33,271.67,280.0,275.0,283.33,273.33,275.0,301.67,408.33,455.0,466.67,935.0,1421.67,851.67,1001.67,1108.33,991.67,1001.67,1065.53,963.41,896.0,899.75,931.7,889.38,899.38,1131.59
40049,85.75,87.67,88.75,89.67,89.33,89.25,90.25,87.0,81.33,77.5,87.42,96.58,97.92,104.25,143.58,163.58,158.42,158.83,163.75,193.75,230.42,256.25,249.58,227.08,232.5,199.17,181.67,208.33,261.67,263.33,254.17,253.33,245.83,240.0,241.67,258.33,255.0,253.33,271.67,280.0,275.0,283.33,273.33,275.0,301.67,408.33,455.0,466.67,935.0,1421.67,851.67,1001.67,1108.33,991.67,1001.67,1065.53,963.41,896.0,899.75,931.7,889.38,899.38,1131.59
40051,85.75,87.67,88.75,89.67,89.33,89.25,90.25,87.0,81.33,77.5,87.42,96.58,97.92,104.25,143.58,163.58,158.42,158.83,163.75,193.75,230.42,256.25,249.58,227.08,232.5,199.17,181.67,208.33,261.67,263.33,254.17,253.33,245.83,240.0,241.67,258.33,255.0,253.33,271.67,280.0,275.0,283.33,273.33,275.0,301.67,408.33,455.0,466.67,935.0,1421.67,851.67,1001.67,1108.33,991.67,1001.67,1065.53,963.41,896.0,899.75,931.7,889.38,899.38,1131.59
40053,85.75,87.67,88.75,89.67,89.33,89.25,90.25,87.0,81.33,77.5,87.42,96.58,97.92,104.25,143.58,163.58,158.42,158.83,163.75,193.75,230.42,256.25,249.58,227.08,232.5,199.17,181.67,208.33,261.67,263.33,254.17,253.33,245.83,240.0,241.67,258.33,255.0,253.33,271.67,280.0,275.0,283.33,273.33,275.0,301.67,408.33,455.0,466.67,935.0,1421.67,851.67,1001.67,1108.33,991.67,1001.67,1065.53,963.41,896.0,899.75,931.7,889.38,899.38,1131.59
40055,85.75,87.67,88.75,89.67,89.33,89.25,90.25,87.0,81.33,77.5,87.42,96.58,97.92,104.25,143.58,163.58,158.42,158.83,163.75,193.75,230.42,256.25,249.58,227.08,232.5,199.17,181.67,208.33,261.67,263.33,254.17,253.33,245.83,240.0,241.67,258.33,255.0,253.33,271.67,280.0,275.0,283.33,273.33,275.0,301.67,408.33,455.0,466.67,935.0,1421.67,851.67,1001.67,1108.33,991.67,1001.67,1065.53,963.41,896.0,899.75,931.7,889.38,899.38,1131.59
40057,85.75,87.67,88.75,89.67,89.33,89.25,90.25,87.0,81.33,77.5,87.42,96.58,97.92,104.25,143.58,163.58,158.42,158.83,163.75,193.75,230.42,256.25,249.58,227.08,232.5,199.17,181.67,208.33,261.67,263.33,254.17,253.33,245.83,240.0,241.67,258.33,255.0,253.33,271.67,280.0,275.0,283.33,273.33,275.0,301.67,408.33,455.0,466.67,935.0,1421.67,851.67,1001.67,1108.33,991.67,1001.67,1065.53,963.41,896.0,899.75,931.7,889.38,899.38,1131.59
40059,85.75,87.67,88.75,89.67,89.33,89.25,90.25,87.0,81.33,77.5,87.42,96.58,97.92,104.25,143.58,163.58,158.42,158.83,163.75,193.75,230.42,256.25,249.58,227.08,232.5,199.17,181.67,208.33,261.67,263.33,254.17,253.33,245.83,240.0,241.67,258.33,255.0,253.33,271.67,280.0,275.0,283.33,273.33,275.0,301.67,408.33,455.0,466.67,935.0,1421.67,851.67,1001.67,1108.33,991.67,1001.67,1065.53,963.41,896.0,899.75,931.7,889.38,899.38,1131.59
40061,85.75,87.67,88.75,89.67,89.33,89.25,90.25,87.0,81.33,77.5,87.42,96.58,97.92,104.25,143.58,163.58,158.42,158.83,163.75,193.75,230.42,256.25,249.58,227.08,232.5,199.17,181.67,208.33,261.67,263.33,254.17,253.33,245.83,240.0,241.67,258.33,255.0,253.33,271.67,280.0,275.0,283.33,273.33,275.0,301.67,408.33,455.0,466.67,935.0,1421.67,851.67,1001.67,1108.33,991.67,1001.67,1065.53,963.41,896.0,899.75,931.7,889.38,899.38,1131.59
40063,85.75,87.67,88.75,89.67,89.33,89.25,90.25,87.0,81.33,77.5,87.42,96.58,97.92,104.25,143.58,163.58,158.42,158.83,163.75,193.75,230.42,256.25,249.58,227.08,232.5,199.17,181.67,208.33,261.67,263.33,254.17,253.33,245.83,240.0,241.67,258.33,255.0,253.33,271.67,280.0,275.0,283.33,273.33,275.0,301.67,408.33,455.0,466.67,935.0,1421.67,851.67,1001.67,1108.33,991.67,1001.67,1065.53,963.41,896.0,899.75,931.7,889.38,899.38,1131.59
40065,85.75,87.67,88.75,89.67,89.33,89.25,90.25,87.0,81.33,77.5,87.42,96.58,97.92,104.25,143.58,163.58,158.42,158.83,163.75,193.75,230.42,256.25,249.58,227.08,232.5,199.17,181.67,208.33,261.67,263.33,254.17,253.33,245.83,240.0,241.67,258.33,255.0,253.33,271.67,280.0,275.0,283.33,273.33,275.0,301.67,408.33,455.0,466.67,935.0,1421.67,851.67,1001.67,1108.33,991.67,1001.67,1065.53,963.41,896.0,899.75,931.7,889.38,899.38,1131.59
40067,85.75,87.67,88.75,89.67,89.33,89.25,90.25,87.0,81.33,77.5,87.42,96.58,97.92,104.25,143.58,163.58,158.42,158.83,163.75,193.75,230.42,256.25,249.58,227.08,232.5,199.17,181.67,208.33,261.67,263.33,254.17,253.33,245.83,240.0,241.67,258.33,255.0,253.33,271.67,280.0,275.0,283.33,273.33,275.0,301.67,408.33,455.0,466.67,935.0,1421.67,851.67,1001.67,1108.33,991.67,1001.67,1065.53,963.41,896.0,899.75,931.7,889.38,899.38,1131.59
40069,85.75,87.67,88.75,89.67,89.33,89.25,90.25,87.0,81.33,77.5,87.42,96.58,97.92,104.25,143.58,163.58,158.42,158.83,163.75,193.75,230.42,256.25,249.58,227.08,232.5,199.17,181.67,208.33,261.67,263.33,254.17,253.33,245.83,240.0,241.67,258.33,255.0,253.33,271.67,280.0,275.0,283.33,273.33,275.0,301.67,408.33,455.0,466.67,935.0,1421.67,851.67,1001.67,1108.33,991.67,1001.67,1065.53,963.41,896.0,899.75,931.7,889.38,899.38,1131.59
40071,85.75,87.67,88.75,89.67,89.33,89.25,90.25,87.0,81.33,77.5,87.42,96.58,97.92,104.25,143.58,163.58,158.42,158.83,163.75,193.75,230.42,256.25,249.58,227.08,232.5,199.17,181.67,208.33,261.67,263.33,254.17,253.33,245.83,240.0,241.67,258.33,255.0,253.33,271.67,280.0,275.0,283.33,273.33,275.0,301.67,408.33,455.0,466.67,935.0,1421.67,851.67,1001.67,1108.33,991.67,1001.67,1065.53,963.41,896.0,899.75,931.7,889.38,899.38,1131.59
40073,85.75,87.67,88.75,89.67,89.33,89.25,90.25,87.0,81.33,77.5,87.42,96.58,97.92,104.25,143.58,163.58,158.42,158.83,163.75,193.75,230.42,256.25,249.58,227.08,232.5,199.17,181.67,208.33,261.67,263.33,254.17,253.33,245.83,240.0,241.67,258.33,255.0,253.33,271.67,280.0,275.0,283.33,273.33,275.0,301.67,408.33,455.0,466.67,935.0,1421.67,851.67,1001.67,1108.33,991.67,1001.67,1065.53,963.41,896.0,899.75,931.7,889.38,899.38,1131.59
40075,85.75,87.67,88.75,89.67,89.33,89.25,90.25,87.0,81.33,77.5,87.42,96.58,97.92,104.25,143.58,163.58,158.42,158.83,163.75,193.75,230.42,256.25,249.58,227.08,232.5,199.17,181.67,208.33,261.67,263.33,254.17,253.33,245.83,240.0,241.67,258.33,255.0,253.33,271.67,280.0,275.0,283.33,273.33,275.0,301.67,408.33,455.0,466.67,935.0,1421.67,851.67,1001.67,1108.33,991.67,1001.67,1065.53,963.41,896.0,899.75,931.7,889.38,899.38,1131.59
40077,85.75,87.67,88.75,89.67,89.33,89.25,90.25,87.0,81.33,77.5,87.42,96.58,97.92,104.25,143.58,163.58,158.42,158.83,163.75,193.75,230.42,256.25,249.58,227.08,232.5,199.17,181.67,208.33,261.67,263.33,254.17,253.33,245.83,240.0,241.67,258.33,255.0,253.33,271.67,280.0,275.0,283.33,273.33,275.0,301.67,408.33,455.0,466.67,935.0,1421.67,851.67,1001.67,1108.33,991.67,1001.67,1065.53,963.41,896.0,899.75,931.7,889.38,899.38,1131.59
40079,85.75,87.67,88.75,89.67,89.33,89.25,90.25,87.0,81.33,77.5,87.42,96.58,97.92,104.25,143.58,163.58,158.42,158.83,163.75,193.75,230.42,256.25,249.58,227.08,232.5,199.17,181.67,208.33,261.67,263.33,254.17,253.33,245.83,240.0,241.67,258.33,255.0,253.33,271.67,280.0,275.0,283.33,273.33,275.0,301.67,408.33,455.0,466.67,935.0,1421.67,851.67,1001.67,1108.33,991.67,1001.67,1065.53,963.41,896.0,899.75,931.7,889.38,899.38,1131.59
40081,85.75,87.67,88.75,89.67,89.33,89.25,90.25,87.0,81.33,77.5,87.42,96.58,97.92,104.25,143.58,163.58,158.42,158.83,163.75,193.75,230.42,256.25,249.58,227.08,232.5,199.17,181.67,208.33,261.67,263.33,254.17,253.33,245.83,240.0,241.67,258.33,255.0,253.33,271.67,280.0,275.0,283.33,273.33,275.0,301.67,408.33,455.0,466.67,935.0,1421.67,851.67,1001.67,1108.33,991.67,1001.67,1065.53,963.41,896.0,899.75,931.7,889.38,899.38,1131.59
40083,85.75,87.67,88.75,89.67,89.33,89.25,90.25,87.0,81.33,77.5,87.42,96.58,97.92,104.25,143.58,163.58,158.42,158.83,163.75,193.75,230.42,256.25,249.58,227.08,232.5,199.17,181.67,208.33,261.67,263.33,254.17,253.33,245.83,240.0,241.67,258.33,255.0,253.33,271.67,280.0,275.0,283.33,273.33,275.0,301.67,408.33,455.0,466.67,935.0,1421.67,851.67,1001.67,1108.33,991.67,1001.67,1065.53,963.41,896.0,899.75,931.7,889.38,899.38,1131.59
40085,85.75,87.67,88.75,89.67,89.33,89.25,90.25,87.0,81.33,77.5,87.42,96.58,97.92,104.25,143.58,163.58,158.42,158.83,163.75,193.75,230.42,256.25,249.58,227.08,232.5,199.17,181.67,208.33,261.67,263.33,254.17,253.33,245.83,240.0,241.67,258.33,255.0,253.33,271.67,280.0,275.0,283.33,273.33,275.0,301.67,408.33,455.0,466.67,935.0,1421.67,851.67,1001.67,1108.33,991.67,1001.67,1065.53,963.41,896.0,899.75,931.7,889.38,899.38,1131.59
40087,85.75,87.67,88.75,89.67,89.33,89.25,90.25,87.0,81.33,77.5,87.42,96.58,97.92,104.25,143.58,163.58,158.42,158.83,163.75,193.75,230.42,256.25,249.58,227.08,232.5,199.17,181.67,208.33,261.67,263.33,254.17,253.33,245.83,240.0,241.67,258.33,255.0,253.33,271.67,280.0,275.0,283.33,273.33,275.0,301.67,408.33,455.0,466.67,935.0,1421.67,851.67,1001.67,1108.33,991.67,1001.67,1065.53,963.41,896.0,899.75,931.7,889.38,899.38,1131.59
40089,85.75,87.67,88.75,89.67,89.33,89.25,90.25,87.0,81.33,77.5,87.42,96.58,97.92,104.25,143.58,163.58,158.42,158.83,163.75,193.75,230.42,256.25,249.58,227.08,232.5,199.17,181.67,208.33,261.67,263.33,254.17,253.33,245.83,240.0,241.67,258.33,255.0,253.33,271.67,280.0,275.0,283.33,273.33,275.0,301.67,408.33,455.0,466.67,935.0,1421.67,851.67,1001.67,1108.33,991.67,1001.67,1065.53,963.41,896.0,899.75,931.7,889.38,899.38,1131.59
40091,85.75,87.67,88.75,89.67,89.33,89.25,90.25,87.0,81.33,77.5,87.42,96.58,97.92,104.25,143.58,163.58,158.42,158.83,163.75,193.75,230.42,256.25,249.58,227.08,232.5,199.17,181.67,208.33,261.67,263.33,254.17,253.33,245.83,240.0,241.67,258.33,255.0,253.33,271.67,280.0,275.0,283.33,273.33,275.0,301.67,408.33,455.0,466.67,935.0,1421.67,851.67,1001.67,1108.33,991.67,1001.67,1065.53,963.41,896.0,899.75,931.7,889.38,899.38,1131.59
40093,85.75,87.67,88.75,89.67,89.33,89.25,90.25,87.0,81.33,77.5,87.42,96.58,97.92,104.25,143.58,163.58,158.42,158.83,163.75,193.75,230.42,256.25,249.58,227.08,232.5,199.17,181.67,208.33,261.67,263.33,254.17,253.33,245.83,240.0,241.67,258.33,255.0,253.33,271.67,280.0,275.0,283.33,273.33,275.0,301.67,408.33,455.0,466.67,935.0,1421.67,851.67,1001.67,1108.33,991.67,1001.67,1065.53,963.41,896.0,899.75,931.7,889.38,899.38,1131.59
40095,85.75,87.67,88.75,89.67,89.33,89.25,90.25,87.0,81.33,77.5,87.42,96.58,97.92,104.25,143.58,163.58,158.42,158.83,163.75,193.75,230.42,256.25,249.58,227.08,232.5,199.17,181.67,208.33,261.67,263.33,254.17,253.33,245.83,240.0,241.67,258.33,255.0,253.33,271.67,280.0,275.0,283.33,273.33,275.0,301.67,408.33,455.0,466.67,935.0,1421.67,851.67,1001.67,1108.33,991.67,1001.67,1065.53,963.41,896.0,899.75,931.7,889.38,899.38,1131.59
40097,85.75,87.67,88.75,89.67,89.33,89.25,90.25,87.0,81.33,77.5,87.42,96.58,97.92,104.25,143.58,163.58,158.42,158.83,163.75,193.75,230.42,256.25,249.58,227.08,232.5,199.17,181.67,208.33,261.67,263.33,254.17,253.33,245.83,240.0,241.67,258.33,255.0,253.33,271.67,280.0,275.0,283.33,273.33,275.0,301.67,408.33,455.0,466.67,935.0,1421.67,851.67,1001.67,1108.33,991.67,1001.67,1065.53,963.41,896.0,899.75,931.7,889.38,899.38,1131.59
40099,85.75,87.67,88.75,89.67,89.33,89.25,90.25,87.0,81.33,77.5,87.42,96.58,97.92,104.25,143.58,163.58,158.42,158.83,163.75,193.75,230.42,256.25,249.58,227.08,232.5,199.17,181.67,208.33,261.67,263.33,254.17,253.33,245.83,240.0,241.67,258.33,255.0,253.33,271.67,280.0,275.0,283.33,273.33,275.0,301.67,408.33,455.0,466.67,935.0,1421.67,851.67,1001.67,1108.33,991.67,1001.67,1065.53,963.41,896.0,899.75,931.7,889.38,899.38,1131.59
40101,85.75,87.67,88.75,89.67,89.33,89.25,90.25,87.0,81.33,77.5,87.42,96.58,97.92,104.25,143.58,163.58,158.42,158.83,163.75,193.75,230.42,256.25,249.58,227.08,232.5,199.17,181.67,208.33,261.67,263.33,254.17,253.33,245.83,240.0,241.67,258.33,255.0,253.33,271.67,280.0,275.0,283.33,273.33,275.0,301.67,408.33,455.0,466.67,935.0,1421.67,851.67,1001.67,1108.33,991.67,1001.67,1065.53,963.41,896.0,899.75,931.7,889.38,899.38,1131.59
40103,85.75,87.67,88.75,89.67,89.33,89.25,90.25,87.0,81.33,77.5,87.42,96.58,97.92,104.25,143.58,163.58,158.42,158.83,163.75,193.75,230.42,256.25,249.58,227.08,232.5,199.17,181.67,208.33,261.67,263.33,254.17,253.33,245.83,240.0,241.67,258.33,255.0,253.33,271.67,280.0,275.0,283.33,273.33,275.0,301.67,408.33,455.0,466.67,935.0,1421.67,851.67,1001.67,1108.33,991.67,1001.67,1065.53,963.41,896.0,899.75,931.7,889.38,899.38,1131.59
40105,85.75,87.67,88.75,89.67,89.33,89.25,90.25,87.0,81.33,77.5,87.42,96.58,97.92,104.25,143.58,163.58,158.42,158.83,163.75,193.75,230.42,256.25,249.58,227.08,232.5,199.17,181.67,208.33,261.67,263.33,254.17,253.33,245.83,240.0,241.67,258.33,255.0,253.33,271.67,280.0,275.0,283.33,273.33,275.0,301.67,408.33,455.0,466.67,935.0,1421.67,851.67,1001.67,1108.33,991.67,1001.67,1065.53,963.41,896.0,899.75,931.7,889.38,899.38,1131.59
40107,85.75,87.67,88.75,89.67,89.33,89.25,90.25,87.0,81.33,77.5,87.42,96.58,97.92,104.25,143.58,163.58,158.42,158.83,163.75,193.75,230.42,256.25,249.58,227.08,232.5,199.17,181.67,208.33,261.67,263.33,254.17,253.33,245.83,240.0,241.67,258.33,255.0,253.33,271.67,280.0,275.0,283.33,273.33,275.0,301.67,408.33,455.0,466.67,935.0,1421.67,851.67,1001.67,1108.33,991.67,1001.67,1065.53,963.41,896.0,899.75,931.7,889.38,899.38,1131.59
40109,85.75,87.67,88.75,89.67,89.33,89.25,90.25,87.0,81.33,77.5,87.42,96.58,97.92,104.25,143.58,163.58,158.42,158.83,163.75,193.75,230.42,256.25,249.58,227.08,232.5,199.17,181.67,208.33,261.67,263.33,254.17,253.33,245.83,240.0,241.67,258.33,255.0,253.33,271.67,280.0,275.0,283.33,273.33,275.0,301.67,408.33,455.0,466.67,935.0,1421.67,851.67,1001.67,1108.33,991.67,1001.67,1065.53,963.41,896.0,899.75,931.7,889.38,899.38,1131.59
40111,85.75,87.67,88.75,89.67,89.33,89.25,90.25,87.0,81.33,77.5,87.42,96.58,97.92,104.25,143.58,163.58,158.42,158.83,163.75,193.75,230.42,256.25,249.58,227.08,232.5,199.17,181.67,208.33,261.67,263.33,254.17,253.33,245.83,240.0,241.67,258.33,255.0,253.33,271.67,280.0,275.0,283.33,273.33,275.0,301.67,408.33,455.0,466.67,935.0,1421.67,851.67,1001.67,1108.33,991.67,1001.67,1065.53,963.41,896.0,899.75,931.7,889.38,899.38,1131.59
40113,85.75,87.67,88.75,89.67,89.33,89.25,90.25,87.0,81.33,77.5,87.42,96.58,97.92,104.25,143.58,163.58,158.42,158.83,163.75,193.75,230.42,256.25,249.58,227.08,232.5,199.17,181.67,208.33,261.67,263.33,254.17,253.33,245.83,240.0,241.67,258.33,255.0,253.33,271.67,280.0,275.0,283.33,273.33,275.0,301.67,408.33,455.0,466.67,935.0,1421.67,851.67,1001.67,1108.33,991.67,1001.67,1065.53,963.41,896.0,899.75,931.7,889.38,899.38,1131.59
40115,85.75,87.67,88.75,89.67,89.33,89.25,90.25,87.0,81.33,77.5,87.42,96.58,97.92,104.25,143.58,163.58,158.42,158.83,163.75,193.75,230.42,256.25,249.58,227.08,232.5,199.17,181.67,208.33,261.67,263.33,254.17,253.33,245.83,240.0,241.67,258.33,255.0,253.33,271.67,280.0,275.0,283.33,273.33,275.0,301.67,408.33,455.0,466.67,935.0,1421.67,851.67,1001.67,1108.33,991.67,1001.67,1065.53,963.41,896.0,899.75,931.7,889.38,899.38,1131.59
40117,85.75,87.67,88.75,89.67,89.33,89.25,90.25,87.0,81.33,77.5,87.42,96.58,97.92,104.25,143.58,163.58,158.42,158.83,163.75,193.75,230.42,256.25,249.58,227.08,232.5,199.17,181.67,208.33,261.67,263.33,254.17,253.33,245.83,240.0,241.67,258.33,255.0,253.33,271.67,280.0,275.0,283.33,273.33,275.0,301.67,408.33,455.0,466.67,935.0,1421.67,851.67,1001.67,1108.33,991.67,1001.67,1065.53,963.41,896.0,899.75,931.7,889.38,899.38,1131.59
40119,85.75,87.67,88.75,89.67,89.33,89.25,90.25,87.0,81.33,77.5,87.42,96.58,97.92,104.25,143.58,163.58,158.42,158.83,163.75,193.75,230.42,256.25,249.58,227.08,232.5,199.17,181.67,208.33,261.67,263.33,254.17,253.33,245.83,240.0,241.67,258.33,255.0,253.33,271.67,280.0,275.0,283.33,273.33,275.0,301.67,408.33,455.0,466.67,935.0,1421.67,851.67,1001.67,1108.33,991.67,1001.67,1065.53,963.41,896.0,899.75,931.7,889.38,899.38,1131.59
40121,85.75,87.67,88.75,89.67,89.33,89.25,90.25,87.0,81.33,77.5,87.42,96.58,97.92,104.25,143.58,163.58,158.42,158.83,163.75,193.75,230.42,256.25,249.58,227.08,232.5,199.17,181.67,208.33,261.67,263.33,254.17,253.33,245.83,240.0,241.67,258.33,255.0,253.33,271.67,280.0,275.0,283.33,273.33,275.0,301.67,408.33,455.0,466.67,935.0,1421.67,851.67,1001.67,1108.33,991.67,1001.67,1065.53,963.41,896.0,899.75,931.7,889.38,899.38,1131.59
40123,85.75,87.67,88.75,89.67,89.33,89.25,90.25,87.0,81.33,77.5,87.42,96.58,97.92,104.25,143.58,163.58,158.42,158.83,163.75,193.75,230.42,256.25,249.58,227.08,232.5,199.17,181.67,208.33,261.67,263.33,254.17,253.33,245.83,240.0,241.67,258.33,255.0,253.33,271.67,280.0,275.0,283.33,273.33,275.0,301.67,408.33,455.0,466.67,935.0,1421.67,851.67,1001.67,1108.33,991.67,1001.67,1065.53,963.41,896.0,899.75,931.7,889.38,899.38,1131.59
40125,85.75,87.67,88.75,89.67,89.33,89.25,90.25,87.0,81.33,77.5,87.42,96.58,97.92,104.25,143.58,163.58,158.42,158.83,163.75,193.75,230.42,256.25,249.58,227.08,232.5,199.17,181.67,208.33,261.67,263.33,254.17,253.33,245.83,240.0,241.67,258.33,255.0,253.33,271.67,280.0,275.0,283.33,273.33,275.0,301.67,408.33,455.0,466.67,935.0,1421.67,851.67,1001.67,1108.33,991.67,1001.67,1065.53,963.41,896.0,899.75,931.7,889.38,899.38,1131.59
40127,85.75,87.67,88.75,89.67,89.33,89.25,90.25,87.0,81.33,77.5,87.42,96.58,97.92,104.25,143.58,163.58,158.42,158.83,163.75,193.75,230.42,256.25,249.58,227.08,232.5,199.17,181.67,208.33,261.67,263.33,254.17,253.33,245.83,240.0,241.67,258.33,255.0,253.33,271.67,280.0,275.0,283.33,273.33,275.0,301.67,408.33,455.0,466.67,935.0,1421.67,851.67,1001.67,1108.33,991.67,1001.67,1065.53,963.41,896.0,899.75,931.7,889.38,899.38,1131.59
40129,85.75,87.67,88.75,89.67,89.33,89.25,90.25,87.0,81.33,77.5,87.42,96.58,97.92,104.25,143.58,163.58,158.42,158.83,163.75,193.75,230.42,256.25,249.58,227.08,232.5,199.17,181.67,208.33,261.67,263.33,254.17,253.33,245.83,240.0,241.67,258.33,255.0,253.33,271.67,280.0,275.0,283.33,273.33,275.0,301.67,408.33,455.0,466.67,935.0,1421.67,851.67,1001.67,1108.33,991.67,1001.67,1065.53,963.41,896.0,899.75,931.7,889.38,899.38,1131.59
40131,85.75,87.67,88.75,89.67,89.33,89.25,90.25,87.0,81.33,77.5,87.42,96.58,97.92,104.25,143.58,163.58,158.42,158.83,163.75,193.75,230.42,256.25,249.58,227.08,232.5,199.17,181.67,208.33,261.67,263.33,254.17,253.33,245.83,240.0,241.67,258.33,255.0,253.33,271.67,280.0,275.0,283.33,273.33,275.0,301.67,408.33,455.0,466.67,935.0,1421.67,851.67,1001.67,1108.33,991.67,1001.67,1065.53,963.41,896.0,899.75,931.7,889.38,899.38,1131.59
40133,85.75,87.67,88.75,89.67,89.33,89.25,90.25,87.0,81.33,77.5,87.42,96.58,97.92,104.25,143.58,163.58,158.42,158.83,163.75,193.75,230.42,256.25,249.58,227.08,232.5,199.17,181.67,208.33,261.67,263.33,254.17,253.33,245.83,240.0,241.67,258.33,255.0,253.33,271.67,280.0,275.0,283.33,273.33,275.0,301.67,408.33,455.0,466.67,935.0,1421.67,851.67,1001.67,1108.33,991.67,1001.67,1065.53,963.41,896.0,899.75,931.7,889.38,899.38,1131.59
